audiogram_profile,ref,0.25_mix,0.5_mix,0.75_mix,f0
normal,1.0,0.997,0.992,0.985,0.969
mild,0.991,0.988,0.983,0.976,0.966
moderate,0.987,0.983,0.978,0.972,0.964
severe,0.978,0.974,0.969,0.965,0.96
