audiogram_profile,ref,0.25_mix,0.5_mix,0.75_mix,f0
normal,2.228,1.798,1.554,1.274,15672.674
mild,0.921,0.914,0.913,0.912,14.488
moderate,0.922,0.911,0.912,0.913,58.003
severe,0.936,0.907,0.908,0.909,124.301
