audiogram_profile,ref,0.25_mix,0.5_mix,0.75_mix,f0
normal,0.525,0.52,0.544,0.59,0.619
mild,0.553,0.547,0.57,0.612,0.63
moderate,0.555,0.549,0.571,0.613,0.634
severe,0.545,0.537,0.567,0.605,0.626
